Season,Team,Player,Position,Nationality
2020-2021,Arsenal FC,Gabriel Magalhães,,
2020-2021,Arsenal FC,William Saliba,,
2020-2021,Arsenal FC,Rob Holding,,
2020-2021,Arsenal FC,Calum Chambers,,
2020-2021,Arsenal FC,Pablo Marí,,
2020-2021,Arsenal FC,Sead Kolasinac,,
2020-2021,Arsenal FC,David Luiz,,
2020-2021,Arsenal FC,Shkodran Mustafi,,
2020-2021,Arsenal FC,Kieran Tierney,,
2020-2021,Arsenal FC,Joel López,,
2020-2021,Arsenal FC,Héctor Bellerín,,
2020-2021,Arsenal FC,Ainsley Maitland-Niles,,
2020-2021,Arsenal FC,Cédric Soares,,
2020-2021,Arsenal FC,Thomas Partey,,
2020-2021,Arsenal FC,Granit Xhaka,,
2020-2021,Arsenal FC,Mohamed Elneny,,
2020-2021,Arsenal FC,Dani Ceballos,,
2020-2021,Arsenal FC,Joe Willock,,
2020-2021,Arsenal FC,Miguel Azeez,,
2020-2021,Arsenal FC,Ben Cottrell,,
2020-2021,Arsenal FC,James Olayinka,,
2020-2021,Arsenal FC,Martin Ødegaard,,
2020-2021,Arsenal FC,Emile Smith Rowe,,
2020-2021,Arsenal FC,Gabriel Martinelli,,
2020-2021,Arsenal FC,Willian,,
2020-2021,Arsenal FC,Reiss Nelson,,
2020-2021,Arsenal FC,Bukayo Saka,,
2020-2021,Arsenal FC,Nicolas Pépé,,
2020-2021,Arsenal FC,Alexandre Lacazette,,
2020-2021,Arsenal FC,Pierre-Emerick Aubameyang,,
2020-2021,Arsenal FC,Eddie Nketiah,,
2020-2021,Arsenal FC,Folarin Balogun,,
2020-2021,Arsenal FC,Tyreece John-Jules,,
2020-2021,Everton FC,Jordan Pickford,,
2020-2021,Everton FC,Robin Olsen,,
2020-2021,Everton FC,Jonas Lössl,,
2020-2021,Everton FC,João Virgínia,,
2020-2021,Everton FC,Harry Tyrer,,
2020-2021,Everton FC,Zan Luk Leban,,
2020-2021,Everton FC,Michael Keane,,
2020-2021,Everton FC,Ben Godfrey,,
2020-2021,Everton FC,Mason Holgate,,
2020-2021,Everton FC,Yerry Mina,,
2020-2021,Everton FC,Jarrad Branthwaite,,
2020-2021,Everton FC,Matthew Pennington,,
2020-2021,Everton FC,Ryan Astley,,
2020-2021,Everton FC,Reece Welch,,
2020-2021,Everton FC,Lucas Digne,,
2020-2021,Everton FC,Niels Nkounkou,,
2020-2021,Everton FC,Thierry Small,,
2020-2021,Everton FC,Jonjoe Kenny,,
2020-2021,Everton FC,Séamus Coleman,,
2020-2021,Everton FC,Kyle John,,
2020-2021,Everton FC,Allan,,
2020-2021,Everton FC,Jean-Philippe Gbamin,,
2020-2021,Everton FC,Muhamed Besic,,
2020-2021,Everton FC,Beni Baningime,,
2020-2021,Everton FC,André Gomes,,
2020-2021,Everton FC,Tom Davies,,
2020-2021,Everton FC,Fabian Delph,,
2020-2021,Everton FC,Tyler Onyango,,
2020-2021,Everton FC,Isaac Price,,
2020-2021,Everton FC,James Rodríguez,,
2020-2021,Everton FC,Abdoulaye Doucouré,,
2020-2021,Everton FC,Gylfi Sigurdsson,,
2020-2021,Everton FC,Alex Iwobi,,
2020-2021,Everton FC,Bernard,,
2020-2021,Everton FC,Anthony Gordon,,
2020-2021,Everton FC,Nathan Broadhead,,
2020-2021,Everton FC,Theo Walcott,,
2020-2021,Everton FC,Richarlison,,
2020-2021,Everton FC,Dominic Calvert-Lewin,,
2020-2021,Everton FC,Moise Kean,,
2020-2021,Everton FC,Joshua King,,
2020-2021,Everton FC,Cenk Tosun,,
2020-2021,Everton FC,Yannick Bolasie,,
2020-2021,Everton FC,Ellis Simms,,
2020-2021,Leicester City,Kasper Schmeichel,,
2020-2021,Leicester City,Danny Ward,,
2020-2021,Leicester City,Eldin Jakupović,,
2020-2021,Leicester City,Jakub Stolarczyk,,
2020-2021,Leicester City,Çağlar Söyüncü,,
2020-2021,Leicester City,Wesley Fofana,,
2020-2021,Leicester City,Jonny Evans,,
2020-2021,Leicester City,Daniel Amartey,,
2020-2021,Leicester City,Josh Knight,,
2020-2021,Leicester City,Wes Morgan,,
2020-2021,Leicester City,Sam Hughes,,
2020-2021,Leicester City,Ben Nelson,,
2020-2021,Leicester City,Luke Thomas,,
2020-2021,Leicester City,Christian Fuchs,,
2020-2021,Leicester City,Shane Flynn,,
2020-2021,Leicester City,Ricardo Pereira,,
2020-2021,Leicester City,Timothy Castagne,,
2020-2021,Leicester City,James Justin,,
2020-2021,Leicester City,Vontae Daley-Campbell,,
2020-2021,Leicester City,Wilfred Ndidi,,
2020-2021,Leicester City,Nampalys Mendy,,
2020-2021,Leicester City,Hamza Choudhury,,
2020-2021,Leicester City,Youri Tielemans,,
2020-2021,Leicester City,Dennis Praet,,
2020-2021,Leicester City,Kiernan Dewsbury-Hall,,
2020-2021,Leicester City,Matty James,,
2020-2021,Leicester City,Sidnei Tavares,,
2020-2021,Leicester City,Khanya Leshabela,,
2020-2021,Leicester City,Ethan Fitzhugh,,
2020-2021,Leicester City,Thanawat Suengchitthawon,,
2020-2021,Leicester City,Marc Albrighton,,
2020-2021,Leicester City,James Maddison,,
2020-2021,Leicester City,Harvey Barnes,,
2020-2021,Leicester City,Demarai Gray,,
2020-2021,Leicester City,Tawanda Maswanhise,,
2020-2021,Leicester City,Cengiz Ünder,,
2020-2021,Leicester City,Kelechi Iheanacho,,
2020-2021,Leicester City,Ayoze Pérez,,
2020-2021,Leicester City,Jamie Vardy,,
2020-2021,Leicester City,Islam Slimani,,
2020-2021,Wolves,Rui Patrício,,
2020-2021,Wolves,John Ruddy,,
2020-2021,Wolves,Andreas Søndergaard,,
2020-2021,Wolves,Matija Sarkic,,
2020-2021,Wolves,Conor Coady,,
2020-2021,Wolves,Willy Boly,,
2020-2021,Wolves,Romain Saïss,,
2020-2021,Wolves,Maximilian Kilman,,
2020-2021,Wolves,Nigel Lonwijk,,
2020-2021,Wolves,Christian Marques,,
2020-2021,Wolves,Rayan Aït-Nouri,,
2020-2021,Wolves,Rúben Vinagre,,
2020-2021,Wolves,Marçal,,
2020-2021,Wolves,Hugo Bueno,,
2020-2021,Wolves,Nélson Semedo,,
2020-2021,Wolves,Jonny Otto,,
2020-2021,Wolves,Ki-Jana Hoever,,
2020-2021,Wolves,Oskar Buur,,
2020-2021,Wolves,Rúben Neves,,
2020-2021,Wolves,Leander Dendoncker,,
2020-2021,Wolves,Vitinha,,
2020-2021,Wolves,Owen Otasowie,,
2020-2021,Wolves,João Moutinho,,
2020-2021,Wolves,Taylor Perry,,
2020-2021,Wolves,Luke Cundle,,
2020-2021,Wolves,Lewis Richards,,
2020-2021,Wolves,Morgan Gibbs-White,,
2020-2021,Wolves,Meritan Shabani,,
2020-2021,Wolves,Diogo Jota,,
2020-2021,Wolves,Daniel Podence,,
2020-2021,Wolves,Pedro Neto,,
2020-2021,Wolves,Adama Traoré,,
2020-2021,Wolves,Theo Corbeanu,,
2020-2021,Wolves,Raúl Jiménez,,
2020-2021,Wolves,Fábio Silva,,
2020-2021,Wolves,Willian José,,
2020-2021,Wolves,Patrick Cutrone,,
2020-2021,Wolves,Renat Dadashov,,
2020-2021,Aston Villa,Emiliano Martínez,,
2020-2021,Aston Villa,Lovre Kalinic,,
2020-2021,Aston Villa,Ørjan Nyland,,
2020-2021,Aston Villa,Tom Heaton,,
2020-2021,Aston Villa,Jed Steer,,
2020-2021,Aston Villa,Ákos Onódi,,
2020-2021,Aston Villa,Oliwier Zych,,
2020-2021,Aston Villa,Tyrone Mings,,
2020-2021,Aston Villa,Ezri Konsa,,
2020-2021,Aston Villa,Kortney Hause,,
2020-2021,Aston Villa,Björn Engels,,
2020-2021,Aston Villa,Mungo Bridge,,
2020-2021,Aston Villa,Dominic Revan,,
2020-2021,Aston Villa,Sil Swinkels,,
2020-2021,Aston Villa,Matt Targett,,
2020-2021,Aston Villa,Neil Taylor,,
2020-2021,Aston Villa,Ben Chrisene,,
2020-2021,Aston Villa,Matty Cash,,
2020-2021,Aston Villa,Frédéric Guilbert,,
2020-2021,Aston Villa,Ahmed El Mohamady,,
2020-2021,Aston Villa,Kaine Kesler-Hayden,,
2020-2021,Aston Villa,Frankie Ealing,,
2020-2021,Aston Villa,Marvelous Nakamba,,
2020-2021,Aston Villa,Lamare Bogarde,,
2020-2021,Aston Villa,Hayden Lindley,,
2020-2021,Aston Villa,Taylor-Jay Hart,,
2020-2021,Aston Villa,Douglas Luiz,,
2020-2021,Aston Villa,John McGinn,,
2020-2021,Aston Villa,Ross Barkley,,
2020-2021,Aston Villa,Morgan Sanson,,
2020-2021,Aston Villa,Jacob Ramsey,,
2020-2021,Aston Villa,Conor Hourihane,,
2020-2021,Aston Villa,Henri Lansbury,,
2020-2021,Aston Villa,Carney Chukwuemeka,,
2020-2021,Aston Villa,Jake Walker,,
2020-2021,Aston Villa,Callum Rowe,,
2020-2021,Aston Villa,Harrison Sohna,,
2020-2021,Aston Villa,Arjan Raikhy,,
2020-2021,Aston Villa,Mamadou Sylla,,
2020-2021,Aston Villa,Teddy Rowe,,
2020-2021,Aston Villa,Jack Grealish,,
2020-2021,Aston Villa,Mahmoud Trezeguet,,
2020-2021,Aston Villa,Louie Barry,,
2020-2021,Aston Villa,Jaden Philogene,,
2020-2021,Aston Villa,Bertrand Traoré,,
2020-2021,Aston Villa,Anwar El Ghazi,,
2020-2021,Aston Villa,Jota Peleteiro,,
2020-2021,Aston Villa,Brad Young,,
2020-2021,Aston Villa,Ollie Watkins,,
2020-2021,Aston Villa,Wesley Moraes,,
2020-2021,Aston Villa,Ally Samatta,,
2020-2021,Aston Villa,Keinan Davis,,
2020-2021,Aston Villa,Michael Tait,,
2020-2021,West Ham,Lukasz Fabianski,,
2020-2021,West Ham,Darren Randolph,,
2020-2021,West Ham,David Martin,,
2020-2021,West Ham,Nathan Trott,,
2020-2021,West Ham,Issa Diop,,
2020-2021,West Ham,Fabián Balbuena,,
2020-2021,West Ham,Craig Dawson,,
2020-2021,West Ham,Angelo Ogbonna,,
2020-2021,West Ham,Winston Reid,,
2020-2021,West Ham,Frederik Alves,,
2020-2021,West Ham,Jamal Baptiste,,
2020-2021,West Ham,Aji Alese,,
2020-2021,West Ham,Arthur Masuaku,,
2020-2021,West Ham,Aaron Cresswell,,
2020-2021,West Ham,Emmanuel Longelo,,
2020-2021,West Ham,Vladimír Coufal,,
2020-2021,West Ham,Ben Johnson,,
2020-2021,West Ham,Ryan Fredericks,,
2020-2021,West Ham,Harrison Ashby,,
2020-2021,West Ham,Tomáš Souček,,
2020-2021,West Ham,Conor Coventry,,
2020-2021,West Ham,Declan Rice,,
2020-2021,West Ham,Pablo Fornals,,
2020-2021,West Ham,Josh Cullen,,
2020-2021,West Ham,Jack Wilshere,,
2020-2021,West Ham,Mark Noble,,
2020-2021,West Ham,Jesse Lingard,,
2020-2021,West Ham,Manuel Lanzini,,
2020-2021,West Ham,Saïd Benrahma,,
2020-2021,West Ham,Xande Silva,,
2020-2021,West Ham,Nathan Holland,,
2020-2021,West Ham,Jarrod Bowen,,
2020-2021,West Ham,Felipe Anderson,,
2020-2021,West Ham,Andriy Yarmolenko,,
2020-2021,West Ham,Robert Snodgrass,,
2020-2021,West Ham,Oladapo Afolayan,,
2020-2021,West Ham,Sébastien Haller,,
2020-2021,West Ham,Michail Antonio,,
2020-2021,West Ham,Mipo Odubeko,,
2020-2021,Brighton & Hove Albion,Robert Sánchez,,
2020-2021,Brighton & Hove Albion,Mathew Ryan,,
2020-2021,Brighton & Hove Albion,Jason Steele,,
2020-2021,Brighton & Hove Albion,Christian Walton,,
2020-2021,Brighton & Hove Albion,Tom McGill,,
2020-2021,Brighton & Hove Albion,Lewis Dunk,,
2020-2021,Brighton & Hove Albion,Adam Webster,,
2020-2021,Brighton & Hove Albion,Shane Duffy,,
2020-2021,Brighton & Hove Albion,Dan Burn,,
2020-2021,Brighton & Hove Albion,Bernardo,,
2020-2021,Brighton & Hove Albion,Matt Clarke,,
2020-2021,Brighton & Hove Albion,Leo Østigård,,
2020-2021,Brighton & Hove Albion,Lars Dendoncker,,
2020-2021,Brighton & Hove Albion,Haydon Roberts,,
2020-2021,Brighton & Hove Albion,Alex Cochrane,,
2020-2021,Brighton & Hove Albion,Ben White,,
2020-2021,Brighton & Hove Albion,Tariq Lamptey,,
2020-2021,Brighton & Hove Albion,Joël Veltman,,
2020-2021,Brighton & Hove Albion,Romaric Yapi,,
2020-2021,Brighton & Hove Albion,Yves Bissouma,,
2020-2021,Brighton & Hove Albion,Moisés Caicedo,,
2020-2021,Brighton & Hove Albion,Alexis Mac Allister,,
2020-2021,Brighton & Hove Albion,Jakub Moder,,
2020-2021,Brighton & Hove Albion,Davy Pröpper,,
2020-2021,Brighton & Hove Albion,Pascal Groß,,
2020-2021,Brighton & Hove Albion,Steven Alzate,,
2020-2021,Brighton & Hove Albion,Dale Stephens,,
2020-2021,Brighton & Hove Albion,Jayson Molumby,,
2020-2021,Brighton & Hove Albion,Max Sanders,,
2020-2021,Brighton & Hove Albion,Teddy Jenks,,
2020-2021,Brighton & Hove Albion,Jensen Weir,,
2020-2021,Brighton & Hove Albion,Michal Karbownik,,
2020-2021,Brighton & Hove Albion,Adam Lallana,,
2020-2021,Brighton & Hove Albion,Reda Khadra,,
2020-2021,Brighton & Hove Albion,Leandro Trossard,,
2020-2021,Brighton & Hove Albion,José Izquierdo,,
2020-2021,Brighton & Hove Albion,Solly March,,
2020-2021,Brighton & Hove Albion,Alireza Jahanbakhsh,,
2020-2021,Brighton & Hove Albion,Percy Tau,,
2020-2021,Brighton & Hove Albion,Peter Gwargis,,
2020-2021,Brighton & Hove Albion,Neal Maupay,,
2020-2021,Brighton & Hove Albion,Aaron Connolly,,
2020-2021,Brighton & Hove Albion,Danny Welbeck,,
2020-2021,Brighton & Hove Albion,Andi Zeqiri,,
2020-2021,Brighton & Hove Albion,Florin Andone,,
2020-2021,Brighton & Hove Albion,Viktor Gyökeres,,
2020-2021,Southampton FC,Alex McCarthy,,
2020-2021,Southampton FC,Angus Gunn,,
2020-2021,Southampton FC,Fraser Forster,,
2020-2021,Southampton FC,Harry Lewis,,
2020-2021,Southampton FC,Jan Bednarek,,
2020-2021,Southampton FC,Jannik Vestergaard,,
2020-2021,Southampton FC,Mohammed Salisu,,
2020-2021,Southampton FC,Jack Stephens,,
2020-2021,Southampton FC,Allan Tchaptchet,,
2020-2021,Southampton FC,Ryan Bertrand,,
2020-2021,Southampton FC,Sam McQueen,,
2020-2021,Southampton FC,Jake Vokins,,
2020-2021,Southampton FC,Kyle Walker-Peters,,
2020-2021,Southampton FC,Yan Valery,,
2020-2021,Southampton FC,Kayne Ramsay,,
2020-2021,Southampton FC,Ibrahima Diallo,,
2020-2021,Southampton FC,Mario Lemina,,
2020-2021,Southampton FC,Oriol Romeu,,
2020-2021,Southampton FC,James Ward-Prowse,,
2020-2021,Southampton FC,Stuart Armstrong,,
2020-2021,Southampton FC,Will Smallbone,,
2020-2021,Southampton FC,Alexandre Jankewitz,,
2020-2021,Southampton FC,Ryan Finnigan,,
2020-2021,Southampton FC,Kgaogelo Chauke,,
2020-2021,Southampton FC,Will Ferry,,
2020-2021,Southampton FC,Caleb Watts,,
2020-2021,Southampton FC,Jake Hesketh,,
2020-2021,Southampton FC,Moussa Djenepo,,
2020-2021,Southampton FC,Takumi Minamino,,
2020-2021,Southampton FC,Nathan Redmond,,
2020-2021,Southampton FC,Theo Walcott,,
2020-2021,Southampton FC,Nathan Tella,,
2020-2021,Southampton FC,Josh Sims,,
2020-2021,Southampton FC,Mohamed Elyounoussi,,
2020-2021,Southampton FC,Danny Ings,,
2020-2021,Southampton FC,Ché Adams,,
2020-2021,Southampton FC,Michael Obafemi,,
2020-2021,Southampton FC,Dan Nlundulu,,
2020-2021,Southampton FC,Shane Long,,
2020-2021,Newcastle,Freddie Woodman,,
2020-2021,Newcastle,Martin Dúbravka,,
2020-2021,Newcastle,Karl Darlow,,
2020-2021,Newcastle,Mark Gillespie,,
2020-2021,Newcastle,Dan Langley,,
2020-2021,Newcastle,Jamaal Lascelles,,
2020-2021,Newcastle,Fabian Schär,,
2020-2021,Newcastle,Ciaran Clark,,
2020-2021,Newcastle,Federico Fernández,,
2020-2021,Newcastle,Jamal Lewis,,
2020-2021,Newcastle,Paul Dummett,,
2020-2021,Newcastle,DeAndre Yedlin,,
2020-2021,Newcastle,Emil Krafth,,
2020-2021,Newcastle,Javier Manquillo,,
2020-2021,Newcastle,Isaac Hayden,,
2020-2021,Newcastle,Dan Barlaser,,
2020-2021,Newcastle,Joelinton,,
2020-2021,Newcastle,Joe Willock,,
2020-2021,Newcastle,Sean Longstaff,,
2020-2021,Newcastle,Jonjo Shelvey,,
2020-2021,Newcastle,Jeff Hendrick,,
2020-2021,Newcastle,Matty Longstaff,,
2020-2021,Newcastle,Elliot Anderson,,
2020-2021,Newcastle,Matt Ritchie,,
2020-2021,Newcastle,Henri Saivet,,
2020-2021,Newcastle,Allan Saint-Maximin,,
2020-2021,Newcastle,Ryan Fraser,,
2020-2021,Newcastle,Christian Atsu,,
2020-2021,Newcastle,Miguel Almirón,,
2020-2021,Newcastle,Jacob Murphy,,
2020-2021,Newcastle,Callum Wilson,,
2020-2021,Newcastle,Dwight Gayle,,
2020-2021,Newcastle,Andy Carroll,,
2020-2021,Fulham FC,Alphonse Areola,,
2020-2021,Fulham FC,Marek Rodák,,
2020-2021,Fulham FC,Marcus Bettinelli,,
2020-2021,Fulham FC,Fabri,,
2020-2021,Fulham FC,Joachim Andersen,,
2020-2021,Fulham FC,Tosin Adarabioyo,,
2020-2021,Fulham FC,Alfie Mawson,,
2020-2021,Fulham FC,Michael Hector,,
2020-2021,Fulham FC,Terence Kongolo,,
2020-2021,Fulham FC,Maxime Le Marchand,,
2020-2021,Fulham FC,Tim Ream,,
2020-2021,Fulham FC,Antonee Robinson,,
2020-2021,Fulham FC,Joe Bryan,,
2020-2021,Fulham FC,Ola Aina,,
2020-2021,Fulham FC,Kenny Tete,,
2020-2021,Fulham FC,Steven Sessegnon,,
2020-2021,Fulham FC,Cyrus Christie,,
2020-2021,Fulham FC,Denis Odoi,,
2020-2021,Fulham FC,Mario Lemina,,
2020-2021,Fulham FC,Jean Michaël Seri,,
2020-2021,Fulham FC,Kevin McDonald,,
2020-2021,Fulham FC,Frank Anguissa,,
2020-2021,Fulham FC,Ruben Loftus-Cheek,,
2020-2021,Fulham FC,Harrison Reed,,
2020-2021,Fulham FC,Tom Cairney,,
2020-2021,Fulham FC,Josh Onomah,,
2020-2021,Fulham FC,Stefan Johansen,,
2020-2021,Fulham FC,Tyrese Francois,,
2020-2021,Fulham FC,Fábio Carvalho,,
2020-2021,Fulham FC,Ivan Cavaleiro,,
2020-2021,Fulham FC,Neeskens Kebano,,
2020-2021,Fulham FC,Sylvester Jasper,,
2020-2021,Fulham FC,Bobby De Cordova-Reid,,
2020-2021,Fulham FC,Anthony Knockaert,,
2020-2021,Fulham FC,Ademola Lookman,,
2020-2021,Fulham FC,Aleksandar Mitrović,,
2020-2021,Fulham FC,Josh Maja,,
2020-2021,Fulham FC,Aboubakar Kamara,,
2020-2021,Leeds United,Illan Meslier,,
2020-2021,Leeds United,Kiko Casilla,,
2020-2021,Leeds United,Elia Caprile,,
2020-2021,Leeds United,Diego Llorente,,
2020-2021,Leeds United,Robin Koch,,
2020-2021,Leeds United,Pascal Struijk,,
2020-2021,Leeds United,Liam Cooper,,
2020-2021,Leeds United,Oliver Casey,,
2020-2021,Leeds United,Charlie Cresswell,,
2020-2021,Leeds United,Ezgjan Alioski,,
2020-2021,Leeds United,Barry Douglas,,
2020-2021,Leeds United,Leif Davis,,
2020-2021,Leeds United,Luke Ayling,,
2020-2021,Leeds United,Jamie Shackleton,,
2020-2021,Leeds United,Gaetano Berardi,,
2020-2021,Leeds United,Niall Huggins,,
2020-2021,Leeds United,Cody Drameh,,
2020-2021,Leeds United,Kalvin Phillips,,
2020-2021,Leeds United,Ouasim Bouy,,
2020-2021,Leeds United,Jack Jenkins,,
2020-2021,Leeds United,Alfie McCalmont,,
2020-2021,Leeds United,Mateusz Klich,,
2020-2021,Leeds United,Adam Forshaw,,
2020-2021,Leeds United,Robbie Gotts,,
2020-2021,Leeds United,Eunan O'Kane,,
2020-2021,Leeds United,Stuart Dallas,,
2020-2021,Leeds United,Mateusz Bogusz,,
2020-2021,Leeds United,Jordan Stevens,,
2020-2021,Leeds United,Sam Greenwood,,
2020-2021,Leeds United,Raphinha,,
2020-2021,Leeds United,Jack Harrison,,
2020-2021,Leeds United,Crysencio Summerville,,
2020-2021,Leeds United,Hélder Costa,,
2020-2021,Leeds United,Ian Poveda,,
2020-2021,Leeds United,Pablo Hernández,,
2020-2021,Leeds United,Patrick Bamford,,
2020-2021,Leeds United,Rodrigo,,
2020-2021,Leeds United,Tyler Roberts,,
2020-2021,Leeds United,Joe Gelhardt,,
2020-2021,Crystal Palace,Jack Butland,,
2020-2021,Crystal Palace,Vicente Guaita,,
2020-2021,Crystal Palace,Wayne Hennessey,,
2020-2021,Crystal Palace,Stephen Henderson,,
2020-2021,Crystal Palace,Mamadou Sakho,,
2020-2021,Crystal Palace,Nathan Ferguson,,
2020-2021,Crystal Palace,James Tomkins,,
2020-2021,Crystal Palace,Scott Dann,,
2020-2021,Crystal Palace,Gary Cahill,,
2020-2021,Crystal Palace,Jaroslaw Jach,,
2020-2021,Crystal Palace,Sam Woods,,
2020-2021,Crystal Palace,Ryan Inniss,,
2020-2021,Crystal Palace,Patrick van Aanholt,,
2020-2021,Crystal Palace,Tyrick Mitchell,,
2020-2021,Crystal Palace,Reece Hannam,,
2020-2021,Crystal Palace,Nathaniel Clyne,,
2020-2021,Crystal Palace,Joel Ward,,
2020-2021,Crystal Palace,Martin Kelly,,
2020-2021,Crystal Palace,Luka Milivojevic,,
2020-2021,Crystal Palace,Jaïro Riedewald,,
2020-2021,Crystal Palace,Cheikhou Kouyaté,,
2020-2021,Crystal Palace,James McCarthy,,
2020-2021,Crystal Palace,James McArthur,,
2020-2021,Crystal Palace,Max Meyer,,
2020-2021,Crystal Palace,Nya Kirby,,
2020-2021,Crystal Palace,Jeffrey Schlupp,,
2020-2021,Crystal Palace,Eberechi Eze,,
2020-2021,Crystal Palace,Wilfried Zaha,,
2020-2021,Crystal Palace,Brandon Pierrick,,
2020-2021,Crystal Palace,Andros Townsend,,
2020-2021,Crystal Palace,Jesurun Rak-Sakyi,,
2020-2021,Crystal Palace,Jean-Philippe Mateta,,
2020-2021,Crystal Palace,Michy Batshuayi,,
2020-2021,Crystal Palace,Christian Benteke,,
2020-2021,Crystal Palace,Jordan Ayew,,
2020-2021,Crystal Palace,Connor Wickham,,
2020-2021,Sheffield Utd,Aaron Ramsdale,,
2020-2021,Sheffield Utd,Michael Verrips,,
2020-2021,Sheffield Utd,Wes Foderingham,,
2020-2021,Sheffield Utd,Simon Moore,,
2020-2021,Sheffield Utd,Jake Eastwood,,
2020-2021,Sheffield Utd,John Egan,,
2020-2021,Sheffield Utd,Jack O'Connell,,
2020-2021,Sheffield Utd,Chris Basham,,
2020-2021,Sheffield Utd,Jack Robinson,,
2020-2021,Sheffield Utd,Kean Bryan,,
2020-2021,Sheffield Utd,Jack Rodwell,,
2020-2021,Sheffield Utd,Phil Jagielka,,
2020-2021,Sheffield Utd,Kyron Gordon,,
2020-2021,Sheffield Utd,Enda Stevens,,
2020-2021,Sheffield Utd,Max Lowe,,
2020-2021,Sheffield Utd,Rhys Norrington-Davies,,
2020-2021,Sheffield Utd,Harry Boyes,,
2020-2021,Sheffield Utd,Jayden Bogle,,
2020-2021,Sheffield Utd,George Baldock,,
2020-2021,Sheffield Utd,Femi Seriki,,
2020-2021,Sheffield Utd,Sander Berge,,
2020-2021,Sheffield Utd,Ethan Ampadu,,
2020-2021,Sheffield Utd,John Lundstram,,
2020-2021,Sheffield Utd,John Fleck,,
2020-2021,Sheffield Utd,Oliver Norwood,,
2020-2021,Sheffield Utd,Ben Osborn,,
2020-2021,Sheffield Utd,Regan Slater,,
2020-2021,Sheffield Utd,Frankie Maguire,,
2020-2021,Sheffield Utd,Luke Freeman,,
2020-2021,Sheffield Utd,Zak Brunt,,
2020-2021,Sheffield Utd,Iliman Ndiaye,,
2020-2021,Sheffield Utd,Rhian Brewster,,
2020-2021,Sheffield Utd,Oli McBurnie,,
2020-2021,Sheffield Utd,Lys Mousset,,
2020-2021,Sheffield Utd,Oliver Burke,,
2020-2021,Sheffield Utd,David McGoldrick,,
2020-2021,Sheffield Utd,Daniel Jebbison,,
2020-2021,Sheffield Utd,Billy Sharp,,
2020-2021,Sheffield Utd,Antwoine Hackford,,
2020-2021,Sheffield Utd,William Osula,,
2020-2021,West Bromwich Albion,Sam Johnstone,,
2020-2021,West Bromwich Albion,David Button,,
2020-2021,West Bromwich Albion,Jonathan Bond,,
2020-2021,West Bromwich Albion,Alex Palmer,,
2020-2021,West Bromwich Albion,Andy Lonergan,,
2020-2021,West Bromwich Albion,Semi Ajayi,,
2020-2021,West Bromwich Albion,Ahmed Hegazy,,
2020-2021,West Bromwich Albion,Dara O'Shea,,
2020-2021,West Bromwich Albion,Kyle Bartley,,
2020-2021,West Bromwich Albion,Cédric Kipré,,
2020-2021,West Bromwich Albion,Caleb Taylor,,
2020-2021,West Bromwich Albion,Kieran Gibbs,,
2020-2021,West Bromwich Albion,Conor Townsend,,
2020-2021,West Bromwich Albion,George Harmon,,
2020-2021,West Bromwich Albion,Ainsley Maitland-Niles,,
2020-2021,West Bromwich Albion,Darnell Furlong,,
2020-2021,West Bromwich Albion,Branislav Ivanovic,,
2020-2021,West Bromwich Albion,Lee Peltier,,
2020-2021,West Bromwich Albion,Taylor Gardner-Hickman,,
2020-2021,West Bromwich Albion,Okay Yokuşlu,,
2020-2021,West Bromwich Albion,Filip Krovinovic,,
2020-2021,West Bromwich Albion,Jake Livermore,,
2020-2021,West Bromwich Albion,Sam Field,,
2020-2021,West Bromwich Albion,Conor Gallagher,,
2020-2021,West Bromwich Albion,Rekeem Harper,,
2020-2021,West Bromwich Albion,Romaine Sawyers,,
2020-2021,West Bromwich Albion,Toby King,,
2020-2021,West Bromwich Albion,Tim Iroegbunam,,
2020-2021,West Bromwich Albion,Matheus Pereira,,
2020-2021,West Bromwich Albion,Rico Richards,,
2020-2021,West Bromwich Albion,Kyle Edwards,,
2020-2021,West Bromwich Albion,Grady Diangana,,
2020-2021,West Bromwich Albion,Matt Phillips,,
2020-2021,West Bromwich Albion,Robert Snodgrass,,
2020-2021,West Bromwich Albion,Karlan Grant,,
2020-2021,West Bromwich Albion,Callum Robinson,,
2020-2021,West Bromwich Albion,Mbaye Diagne,,
2020-2021,West Bromwich Albion,Kenneth Zohore,,
2020-2021,West Bromwich Albion,Charlie Austin,,
2020-2021,West Bromwich Albion,Hal Robson-Kanu,,
2020-2021,West Bromwich Albion,Kamil Grosicki,,
2020-2021,West Bromwich Albion,Jamie Soule,,
